Price_USD_per_kg,Rainfall_mm,Temperature_C,Price_7d_ago,Price_30d_ago
5.693215220195625,1.98,19.87,5.595446766385839,6.5181365492157
5.693215220195625,3.16,22.18,5.595446766385839,6.5181365492157
5.693215220195625,2.88,19.86,5.595446766385839,6.5181365492157
5.693215220195625,1.29,20.46,5.595446766385839,6.5181365492157
5.693215220195625,2.66,19.46,5.595446766385839,6.5181365492157
5.944106325928092,2.59,21.23,5.696809648644515,6.5181365492157
5.944106325928092,0.66,19.03,5.696809648644515,6.5181365492157
5.944106325928092,5.02,21.0,5.696809648644515,6.5181365492157
5.944106325928092,2.17,18.82,5.696809648644515,6.5181365492157
5.944106325928092,0.42,21.81,5.696809648644515,6.5181365492157
5.9157103411818674,2.29,19.72,5.770135989001854,6.333023484097906
5.9157103411818674,3.46,20.42,5.770135989001854,6.333023484097906
5.9157103411818674,5.72,18.39,5.770135989001854,6.333023484097906
5.9157103411818674,1.04,21.87,5.770135989001854,6.333023484097906
5.9157103411818674,1.12,18.39,5.770135989001854,6.333023484097906
5.973221196364095,2.43,21.89,5.861075028758753,6.173071418122336
5.973221196364095,1.18,21.15,5.861075028758753,6.173071418122336
5.973221196364095,2.54,20.27,5.861075028758753,6.173071418122336
5.973221196364095,0.74,18.7,5.861075028758753,6.173071418122336
5.973221196364095,3.69,19.91,5.861075028758753,6.173071418122336
5.8732960854849745,6.36,20.04,5.814347458923192,6.096150649316106
5.8732960854849745,2.46,19.69,5.814347458923192,6.096150649316106
5.8732960854849745,3.51,19.54,5.814347458923192,6.096150649316106
5.8732960854849745,0.63,18.76,5.814347458923192,6.096150649316106
5.8732960854849745,0.32,21.03,5.814347458923192,6.096150649316106
5.811112473319192,1.48,20.33,5.872217756950308,5.8963004275578665
5.811112473319192,1.13,18.73,5.872217756950308,5.8963004275578665
5.811112473319192,0.99,18.91,5.872217756950308,5.8963004275578665
5.811112473319192,2.29,21.88,5.872217756950308,5.8963004275578665
5.811112473319192,4.61,18.82,5.872217756950308,5.8963004275578665
