date,price,confidence
2023-08-05,7872,85
2023-08-06,7840,84
2023-08-07,7809,83
2023-08-08,7903,82
2023-08-09,7900,81
2023-08-10,7891,80
2023-08-11,7830,79
2023-08-12,7841,78
2023-08-13,7857,77
2023-08-14,7857,76
2023-08-15,7912,75
2023-08-16,7864,74
2023-08-17,7840,73
2023-08-18,7912,72
2023-08-19,8013,71
2023-08-20,7858,70
2023-08-21,7865,70
2023-08-22,7898,70
2023-08-23,7945,70
2023-08-24,7939,70
2023-08-25,7908,70
2023-08-26,7895,70
2023-08-27,8025,70
2023-08-28,7981,70
2023-08-29,8013,70
2023-08-30,7965,70
2023-08-31,7928,70
2023-09-01,7956,70
2023-09-02,8030,70
2023-09-03,7969,70
